rank,symbol,name,price_usd,market_cap_usd,change_24h_pct
1,BTC,Bitcoin,78109.73114773618,1563697219852.8125,2.82555409
2,ETH,Ethereum,2395.2942661591123,289087808817.3856,3.47213814
3,USDT,Tether USDt,0.9999971766454561,188489293528.65057,-0.0197986
4,XRP,XRP,1.4570874283585873,89712407085.10349,1.50700085
5,BNB,BNB,642.2156974323423,86562012658.98666,1.53284861
6,USDC,USDC,0.9997268156373693,77889682751.96997,-0.00487007
7,SOL,Solana,87.89782144024771,50595181649.21647,2.71930441
8,TRX,TRON,0.3328445327193453,31546876491.87139,1.13100737
9,DOGE,Dogecoin,0.09779480078822024,16590303446.57603,2.62414373
10,HYPE,Hyperliquid,40.538721000691844,10348972957.105145,-0.75429774
11,LEO,UNUS SED LEO,10.366701677492403,9545482545.269398,0.27475691
12,BCH,Bitcoin Cash,468.0002879846065,9371441054.228853,5.59056541
13,ADA,Cardano,0.2552594318330403,9235730297.578466,2.7619551
14,XMR,Monero,384.7739171200428,7097825975.3521595,7.57351883
15,LINK,Chainlink,9.523469293038035,6924514241.571796,2.03261543
16,XLM,Stellar,0.18123774628598835,6017340166.709418,2.28517356
17,CC,Canton,0.15126072907373456,5802694814.417177,-2.64144604
18,M,MemeCore,4.257009406803874,5504236374.072842,20.58852331
19,ZEC,Zcash,323.8047782352851,5388083432.899232,1.79427893
20,DAI,Dai,0.9998284420114416,5364462228.400557,0.01329676
