rank,symbol,last_price,change_24h_pct,quote_volume_24h_usd
1,USDCUSDT,0.99976,0.025,3053670709.25649
2,BTCUSDT,77887.0,2.408,1481862723.6449296
3,ETHUSDT,2386.06,3.022,790831585.420613
4,SOLUSDT,87.83,2.653,232635038.05006
5,XRPUSDT,1.4537,1.289,128753375.47208
6,USD1USDT,0.9998,0.02,104699778.693
7,RLUSDUSDT,1.0,0.0,87497049.1659
8,ZECUSDT,322.65,1.462,84798033.83928
9,BNBUSDT,641.63,1.411,83426029.00754
10,CHIPUSDT,0.07856,554.667,82377816.41297
11,DOGEUSDT,0.09748,2.245,64696889.34051
12,币安人生USDT,0.4657,-5.249,55107102.84598
13,PEPEUSDT,3.89e-06,2.91,45009130.10361235
14,TRXUSDT,0.3327,1.094,38744416.24702
15,UUSDT,0.9998,0.02,38313741.7985
16,ADAUSDT,0.2548,2.412,36703939.77428
17,SUIUSDT,0.9658,2.028,31130818.41737
18,PAXGUSDT,4753.58,-0.309,30379157.302485
19,AVAXUSDT,9.57,2.572,30126470.2995
20,FDUSDUSDT,0.9993,0.04,29864017.6895
21,LINKUSDT,9.5,1.604,27896629.2301
22,EURUSDT,1.1749,-0.17,26073043.0232
23,AAVEUSDT,92.78,0.466,25544563.82601
24,GUNUSDT,0.01822,-30.749,25476018.04187
25,METUSDT,0.191,30.912,22194744.00642
26,TAOUSDT,247.2,0.447,20548930.38107
27,RUNEUSDT,0.498,17.453,19521749.821
28,DASHUSDT,36.88,6.899,18842606.06159
29,ORDIUSDT,4.541,-7.703,17589548.53455
30,NEARUSDT,1.405,2.405,17040137.2682
