title,subtitle,canonical_url,post_date_iso,word_count,like_count
Half A Month Of Consolation Writing Advice,...,https://www.astralcodexten.com/p/half-a-month-of-consolation-writing,2026-04-21T15:14:10.213Z,5903,419
Open Thread 430,...,https://www.astralcodexten.com/p/open-thread-430,2026-04-20T05:10:07.715Z,521,43
"Orban Was Bad, Even Though We Don't Have A Perfect Word For His Badness",...,https://www.astralcodexten.com/p/orban-was-bad-even-though-we-dont,2026-04-16T01:51:55.751Z,2051,791
Open Thread 429,...,https://www.astralcodexten.com/p/open-thread-429,2026-04-13T12:53:42.423Z,102,63
Open Thread 428.5 + Zagreb Update,...,https://www.astralcodexten.com/p/open-thread-4285-zagreb-update,2026-04-08T18:45:24.676Z,38,43
Zagreb Meetup This Friday,...,https://www.astralcodexten.com/p/zagreb-meetup-this-friday,2026-04-07T20:51:24.097Z,206,59
Open Thread 428,...,https://www.astralcodexten.com/p/open-thread-428,2026-04-06T09:01:19.263Z,666,44
The PauseAI Protest: A Photo-Essay,...,https://www.astralcodexten.com/p/the-pauseai-protest-a-photo-essay,2026-04-03T05:23:46.470Z,1244,91
Hidden Open Thread 427.5,...,https://www.astralcodexten.com/p/hidden-open-thread-4275,2026-04-03T05:21:46.345Z,20,4
Meetups Everywhere Spring 2026: Times & Places,...,https://www.astralcodexten.com/p/meetups-everywhere-spring-2026-times,2026-04-01T03:24:46.393Z,11343,61
Against The Concept Of Telescopic Altruism,...,https://www.astralcodexten.com/p/against-the-concept-of-telescopic,2026-03-31T11:32:53.974Z,1336,432
Open Thread 427,...,https://www.astralcodexten.com/p/open-thread-427,2026-03-30T08:26:09.904Z,590,55
A Buddhist Sun Miracle?,...,https://www.astralcodexten.com/p/a-buddhist-sun-miracle,2026-03-27T15:21:05.687Z,1591,244
Book Review: The White King Of La Gonave,...,https://www.astralcodexten.com/p/book-review-the-white-king-of-la,2026-03-27T00:26:19.673Z,3244,100
Hidden Open Thread 426.5,...,https://www.astralcodexten.com/p/hidden-open-thread-4265,2026-03-26T23:06:51.260Z,20,8
How Natural Tradeoff And Failure Components?,...,https://www.astralcodexten.com/p/how-natural-tradeoff-and-failure,2026-03-26T11:17:22.543Z,783,225
Every Debate On Pausing AI,...,https://www.astralcodexten.com/p/every-debate-on-pausing-ai,2026-03-25T15:26:07.841Z,1155,385
Open Thread 426,...,https://www.astralcodexten.com/p/open-thread-426,2026-03-23T13:34:59.799Z,180,49
Being John Rawls,...,https://www.astralcodexten.com/p/being-john-rawls,2026-03-19T03:31:17.266Z,5424,1807
Hidden Open Thread 425.5,...,https://www.astralcodexten.com/p/hidden-open-thread-4255,2026-03-18T22:41:42.689Z,20,4
Support Your Local Collaborator,...,https://www.astralcodexten.com/p/support-your-local-collaborator,2026-03-18T02:47:37.829Z,1450,461
"Shameless Guesses, Not Hallucinations",...,https://www.astralcodexten.com/p/shameless-guesses-not-hallucinations,2026-03-16T20:25:24.712Z,1015,518
Open Thread 425,...,https://www.astralcodexten.com/p/open-thread-425,2026-03-16T05:18:25.829Z,368,52
Spring Meetups Everywhere 2026 - Call For Organizers,...,https://www.astralcodexten.com/p/spring-meetups-everywhere-2026-call,2026-03-13T04:39:25.534Z,1433,71
Hidden Open Thread 424.5,...,https://www.astralcodexten.com/p/hidden-open-thread-4245,2026-03-12T14:13:43.746Z,20,7
Lines Composed In A Fake Sequoia Forest,...,https://www.astralcodexten.com/p/lines-composed-in-a-fake-sequoia,2026-03-11T20:46:55.878Z,1053,98
Last Rights,Guest post by David Speiser,https://www.astralcodexten.com/p/last-rights,2026-03-11T05:01:45.933Z,3282,485
Open Thread 424,...,https://www.astralcodexten.com/p/open-thread-424,2026-03-09T13:24:05.848Z,279,61
SEIU Delenda Est,...,https://www.astralcodexten.com/p/seiu-delenda-est,2026-03-06T14:04:21.037Z,2080,628
Open Hidden Open Thread 423.5,...,https://www.astralcodexten.com/p/open-hidden-open-thread-4235,2026-03-04T23:16:58.817Z,76,60
